"exam_date","first_name","last_name","email","date_of_birth","gpa","course_name","exam_name","building_name","room_name","capacity","has_projector","has_computers","is_accessible","grade","state"
"2023-11-15","Sofia","Johnson","sofia.johnson@jsuniversity.edu","2002-07-10","3.15","Physics","Quiz 1","Main Building","Room 101","50","t","f","t","66.71","Florida"
"2023-11-15","Chloe","Perez","chloe.perez@jsuniversity.edu","2002-05-18","3.12","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","75.97","Pennsylvania"
"2023-11-15","Oliver","Martinez","oliver.martinez@jsuniversity.edu","2003-04-15","3.42","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","17.06","California"
"2023-11-15","Evelyn","Gonzalez","evelyn.gonzalez@jsuniversity.edu","2003-06-20","3.18","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","75.41","New York"
"2023-11-15","Liam","Ramirez","liam.ramirez@jsuniversity.edu","2003-11-08","3.21","Physics","Quiz 1","Main Building","Room 101","50","t","f","t","44.78","Georgia"
"2023-11-15","Harper","Torres","harper.torres@jsuniversity.edu","2003-12-15","3.95","Physics","Quiz 1","Main Building","Room A01","100","t","t","t","23.54","North Carolina"
"2023-10-30","Emma","Taylor","emma.taylor@jsuniversity.edu","2002-11-28","2.98","Art","Midterm Exam","Library","Room 901","90","f","f","t","55.99","Florida"
"2023-10-30","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Art","Midterm Exam","Library","Room 501","70","f","f","t","61.70","Illinois"
"2023-10-30","Mia","Clark","mia.clark@jsuniversity.edu","2002-12-08","3.05","Art","Midterm Exam","Library","Room 501","70","f","f","t","42.99","North Carolina"
"2023-10-30","Ava","Garcia","ava.garcia@jsuniversity.edu","2002-01-15","2.98","Art","Midterm Exam","Library","Room 501","70","f","f","t","49.17","New York"
"2023-10-30","Sofia","Johnson","sofia.johnson@jsuniversity.edu","2002-07-10","3.15","Art","Midterm Exam","Library","Room 901","90","f","f","t","95.81","Florida"
"2023-10-30","Chloe","Perez","chloe.perez@jsuniversity.edu","2002-05-18","3.12","Art","Midterm Exam","Library","Room 501","70","f","f","t","69.50","Pennsylvania"
"2023-10-30","Ella","Moore","ella.moore@jsuniversity.edu","2002-10-14","3.21","Art","Midterm Exam","Main Building","Room A01","100","t","t","t","21.59","Georgia"
"2023-10-30","Liam","Roberts","liam.roberts@jsuniversity.edu","2002-09-22","2.95","Art","Midterm Exam","Library","Room 901","90","f","f","t","56.03","North Carolina"
"2023-10-30","Liam","Hernandez","liam.hernandez@jsuniversity.edu","2003-01-10","3.55","Art","Midterm Exam","Library","Room 901","90","f","f","t","47.78","Texas"
"2023-10-30","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Art","Midterm Exam","Library","Room 901","90","f","f","t","76.50","Florida"
"2023-10-30","Noah","Wright","noah.wright@jsuniversity.edu","2003-05-12","3.78","Art","Midterm Exam","Library","Room 901","90","f","f","t","99.93","Illinois"
"2023-10-30","Isabella","Rodriguez","isabella.rodriguez@jsuniversity.edu","2003-08-02","3.25","Art","Midterm Exam","Main Building","Room A01","100","t","t","t","95.51","Pennsylvania"
"2023-10-30","Mason","Sanchez","mason.sanchez@jsuniversity.edu","2003-07-19","3.68","Art","Midterm Exam","Main Building","Room A01","100","t","t","t","17.61","Ohio"
"2023-10-30","Sophia","Gomez","sophia.gomez@jsuniversity.edu","2003-02-28","3.12","Art","Midterm Exam","Main Building","Room A01","100","t","t","t","90.84","Michigan"
"2023-12-27","John","Smith","john.smith@jsuniversity.edu","2002-05-15","3.25","Art","Final Exam","Library","Room 901","90","f","f","t","56.27","California"
"2023-12-27","Michael","Brown","michael.brown@jsuniversity.edu","2002-03-10","3.48","Art","Final Exam","Science Building","Room 201","40","t","t","t","58.00","Texas"
"2023-12-27","Emma","Taylor","emma.taylor@jsuniversity.edu","2002-11-28","2.98","Art","Final Exam","Science Building","Room 201","40","t","t","t","57.49","Florida"
"2023-12-27","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Art","Final Exam","Science Building","Room 201","40","t","t","t","81.00","Illinois"
"2023-12-27","Olivia","Anderson","olivia.anderson@jsuniversity.edu","2002-10-05","3.15","Art","Final Exam","Science Building","Room 601","60","t","t","t","66.09","Pennsylvania"
"2023-12-27","William","Wilson","william.wilson@jsuniversity.edu","2002-09-17","3.33","Art","Final Exam","Library","Room 901","90","f","f","t","94.39","Ohio"
"2023-12-27","Sophia","Moore","sophia.moore@jsuniversity.edu","2002-04-19","3.75","Art","Final Exam","Science Building","Room 201","40","t","t","t","21.56","Michigan"
"2023-12-27","Ava","Garcia","ava.garcia@jsuniversity.edu","2002-01-15","2.98","Art","Final Exam","Science Building","Room 201","40","t","t","t","78.23","New York"
"2023-12-27","Grace","Wilson","grace.wilson@jsuniversity.edu","2002-02-01","3.25","Art","Final Exam","Science Building","Room 601","60","t","t","t","29.65","Michigan"
"2023-12-27","Ella","Moore","ella.moore@jsuniversity.edu","2002-10-14","3.21","Art","Final Exam","Science Building","Room 201","40","t","t","t","13.41","Georgia"
"2023-12-27","Liam","Roberts","liam.roberts@jsuniversity.edu","2002-09-22","2.95","Art","Final Exam","Library","Room 901","90","f","f","t","39.36","North Carolina"
"2023-12-27","Evelyn","Gonzalez","evelyn.gonzalez@jsuniversity.edu","2003-06-20","3.18","Art","Final Exam","Science Building","Room 201","40","t","t","t","96.35","New York"
"2023-12-27","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Art","Final Exam","Library","Room 901","90","f","f","t","43.35","Florida"
"2023-12-27","Isabella","Rodriguez","isabella.rodriguez@jsuniversity.edu","2003-08-02","3.25","Art","Final Exam","Science Building","Room 601","60","t","t","t","11.61","Pennsylvania"
"2023-12-27","Liam","Ramirez","liam.ramirez@jsuniversity.edu","2003-11-08","3.21","Art","Final Exam","Science Building","Room 601","60","t","t","t","95.17","Georgia"
"2023-11-20","John","Smith","john.smith@jsuniversity.edu","2002-05-15","3.25","Art","Project Presentation","Engineering Building","Room 401","60","t","t","f","10.78","California"
"2023-11-20","David","Jones","david.jones@jsuniversity.edu","2002-07-30","2.87","Art","Project Presentation","Main Building","Room A01","100","t","t","t","9.58","Georgia"
"2023-11-20","Ethan","White","ethan.white@jsuniversity.edu","2002-02-22","3.42","Art","Project Presentation","Engineering Building","Room 401","60","t","t","f","76.28","California"
"2023-11-20","Liam","Anderson","liam.anderson@jsuniversity.edu","2002-03-28","3.68","Art","Project Presentation","Engineering Building","Room 401","60","t","t","f","70.48","Texas"
"2023-11-20","Chloe","Perez","chloe.perez@jsuniversity.edu","2002-05-18","3.12","Art","Project Presentation","Arts Building","Room 301","30","f","f","t","68.52","Pennsylvania"
"2023-11-20","Benjamin","Thomas","benjamin.thomas@jsuniversity.edu","2002-08-03","3.78","Art","Project Presentation","Arts Building","Room 301","30","f","f","t","45.82","Ohio"
"2023-11-25","Emma","Taylor","emma.taylor@jsuniversity.edu","2002-11-28","2.98","Economics","Term Paper","Main Building","Room A01","100","t","t","t","26.31","Florida"
"2023-11-25","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Economics","Term Paper","Main Building","Room A01","100","t","t","t","97.05","Illinois"
"2023-11-25","David","Jones","david.jones@jsuniversity.edu","2002-07-30","2.87","Economics","Term Paper","Main Building","Room A01","100","t","t","t","64.02","Georgia"
"2023-11-25","Ethan","White","ethan.white@jsuniversity.edu","2002-02-22","3.42","Economics","Term Paper","Science Building","Room 601","60","t","t","t","51.99","California"
"2023-11-25","Liam","Anderson","liam.anderson@jsuniversity.edu","2002-03-28","3.68","Economics","Term Paper","Library","Room 901","90","f","f","t","26.93","Texas"
"2023-11-25","Sofia","Johnson","sofia.johnson@jsuniversity.edu","2002-07-10","3.15","Economics","Term Paper","Main Building","Room A01","100","t","t","t","47.97","Florida"
"2023-11-25","Grace","Wilson","grace.wilson@jsuniversity.edu","2002-02-01","3.25","Economics","Term Paper","Library","Room 901","90","f","f","t","22.13","Michigan"
"2023-11-25","Liam","Roberts","liam.roberts@jsuniversity.edu","2002-09-22","2.95","Economics","Term Paper","Library","Room 901","90","f","f","t","19.34","North Carolina"
"2023-11-25","Oliver","Martinez","oliver.martinez@jsuniversity.edu","2003-04-15","3.42","Economics","Term Paper","Library","Room 901","90","f","f","t","59.74","California"
"2023-11-25","Liam","Hernandez","liam.hernandez@jsuniversity.edu","2003-01-10","3.55","Economics","Term Paper","Science Building","Room 601","60","t","t","t","70.64","Texas"
"2023-11-25","Liam","Ramirez","liam.ramirez@jsuniversity.edu","2003-11-08","3.21","Economics","Term Paper","Main Building","Room A01","100","t","t","t","44.86","Georgia"
"2023-11-25","Harper","Torres","harper.torres@jsuniversity.edu","2003-12-15","3.95","Economics","Term Paper","Library","Room 901","90","f","f","t","57.87","North Carolina"
"2023-11-05","Michael","Brown","michael.brown@jsuniversity.edu","2002-03-10","3.48","Psychology","Midterm Exam","Science Building","Room 201","40","t","t","t","68.82","Texas"
"2023-11-05","Emma","Taylor","emma.taylor@jsuniversity.edu","2002-11-28","2.98","Psychology","Midterm Exam","Arts Building","Room 701","70","f","f","t","24.66","Florida"
"2023-11-05","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Psychology","Midterm Exam","Science Building","Room 601","60","t","t","t","55.95","Illinois"
"2023-11-05","William","Wilson","william.wilson@jsuniversity.edu","2002-09-17","3.33","Psychology","Midterm Exam","Science Building","Room 601","60","t","t","t","97.87","Ohio"
"2023-11-05","David","Jones","david.jones@jsuniversity.edu","2002-07-30","2.87","Psychology","Midterm Exam","Science Building","Room 201","40","t","t","t","60.64","Georgia"
"2023-11-05","Liam","Anderson","liam.anderson@jsuniversity.edu","2002-03-28","3.68","Psychology","Midterm Exam","Arts Building","Room 701","70","f","f","t","96.84","Texas"
"2023-11-05","Chloe","Perez","chloe.perez@jsuniversity.edu","2002-05-18","3.12","Psychology","Midterm Exam","Science Building","Room 201","40","t","t","t","55.50","Pennsylvania"
"2023-11-05","Grace","Wilson","grace.wilson@jsuniversity.edu","2002-02-01","3.25","Psychology","Midterm Exam","Science Building","Room 201","40","t","t","t","68.81","Michigan"
"2023-11-05","Ella","Moore","ella.moore@jsuniversity.edu","2002-10-14","3.21","Psychology","Midterm Exam","Science Building","Room 201","40","t","t","t","59.82","Georgia"
"2023-11-05","Liam","Roberts","liam.roberts@jsuniversity.edu","2002-09-22","2.95","Psychology","Midterm Exam","Arts Building","Room 701","70","f","f","t","57.43","North Carolina"
"2023-11-05","Oliver","Martinez","oliver.martinez@jsuniversity.edu","2003-04-15","3.42","Psychology","Midterm Exam","Science Building","Room 201","40","t","t","t","44.99","California"
"2023-11-05","Evelyn","Gonzalez","evelyn.gonzalez@jsuniversity.edu","2003-06-20","3.18","Psychology","Midterm Exam","Science Building","Room 601","60","t","t","t","59.44","New York"
"2023-11-05","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Psychology","Midterm Exam","Arts Building","Room 701","70","f","f","t","55.90","Florida"
"2023-11-05","Mason","Sanchez","mason.sanchez@jsuniversity.edu","2003-07-19","3.68","Psychology","Midterm Exam","Science Building","Room 601","60","t","t","t","82.54","Ohio"
"2023-11-05","Sophia","Gomez","sophia.gomez@jsuniversity.edu","2003-02-28","3.12","Psychology","Midterm Exam","Arts Building","Room 701","70","f","f","t","22.64","Michigan"
"2023-11-05","Liam","Ramirez","liam.ramirez@jsuniversity.edu","2003-11-08","3.21","Psychology","Midterm Exam","Science Building","Room 601","60","t","t","t","48.15","Georgia"
"2023-12-31","John","Smith","john.smith@jsuniversity.edu","2002-05-15","3.25","Psychology","Final Exam","Library","Room 501","70","f","f","t","31.47","California"
"2023-12-31","Alice","Johnson","alice.johnson@jsuniversity.edu","2002-08-20","3.12","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","81.40","New York"
"2023-12-31","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Psychology","Final Exam","Library","Room 501","70","f","f","t","23.03","Illinois"
"2023-12-31","Mia","Clark","mia.clark@jsuniversity.edu","2002-12-08","3.05","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","83.58","North Carolina"
"2023-12-31","Ava","Garcia","ava.garcia@jsuniversity.edu","2002-01-15","2.98","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","37.30","New York"
"2023-12-31","Liam","Anderson","liam.anderson@jsuniversity.edu","2002-03-28","3.68","Psychology","Final Exam","Library","Room 501","70","f","f","t","44.10","Texas"
"2023-12-31","Sofia","Johnson","sofia.johnson@jsuniversity.edu","2002-07-10","3.15","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","57.58","Florida"
"2023-12-31","Lucas","Davis","lucas.davis@jsuniversity.edu","2002-06-05","3.55","Psychology","Final Exam","Library","Room 501","70","f","f","t","13.94","Illinois"
"2023-12-31","Chloe","Perez","chloe.perez@jsuniversity.edu","2002-05-18","3.12","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","24.54","Pennsylvania"
"2023-12-31","Benjamin","Thomas","benjamin.thomas@jsuniversity.edu","2002-08-03","3.78","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","60.91","Ohio"
"2023-12-31","Ella","Moore","ella.moore@jsuniversity.edu","2002-10-14","3.21","Psychology","Final Exam","Library","Room 501","70","f","f","t","36.59","Georgia"
"2023-12-31","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Psychology","Final Exam","Library","Room 501","70","f","f","t","80.07","Florida"
"2023-12-31","Noah","Wright","noah.wright@jsuniversity.edu","2003-05-12","3.78","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","96.82","Illinois"
"2023-12-31","Isabella","Rodriguez","isabella.rodriguez@jsuniversity.edu","2003-08-02","3.25","Psychology","Final Exam","Library","Room 501","70","f","f","t","78.70","Pennsylvania"
"2023-12-31","Harper","Torres","harper.torres@jsuniversity.edu","2003-12-15","3.95","Psychology","Final Exam","Arts Building","Room 301","30","f","f","t","95.64","North Carolina"
"2023-11-08","John","Smith","john.smith@jsuniversity.edu","2002-05-15","3.25","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","28.73","California"
"2023-11-08","Michael","Brown","michael.brown@jsuniversity.edu","2002-03-10","3.48","Geology","Midterm Exam","Library","Room 901","90","f","f","t","18.89","Texas"
"2023-11-08","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","82.24","Illinois"
"2023-11-08","Olivia","Anderson","olivia.anderson@jsuniversity.edu","2002-10-05","3.15","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","45.30","Pennsylvania"
"2023-11-08","Benjamin","Thomas","benjamin.thomas@jsuniversity.edu","2002-08-03","3.78","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","15.74","Ohio"
"2023-11-08","Grace","Wilson","grace.wilson@jsuniversity.edu","2002-02-01","3.25","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","80.76","Michigan"
"2023-11-08","Evelyn","Gonzalez","evelyn.gonzalez@jsuniversity.edu","2003-06-20","3.18","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","56.53","New York"
"2023-11-08","Liam","Hernandez","liam.hernandez@jsuniversity.edu","2003-01-10","3.55","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","69.62","Texas"
"2023-11-08","Mason","Sanchez","mason.sanchez@jsuniversity.edu","2003-07-19","3.68","Geology","Midterm Exam","Library","Room 901","90","f","f","t","56.88","Ohio"
"2023-11-08","Sophia","Gomez","sophia.gomez@jsuniversity.edu","2003-02-28","3.12","Geology","Midterm Exam","Engineering Building","Room 401","60","t","t","f","31.55","Michigan"
"2024-01-02","Alice","Johnson","alice.johnson@jsuniversity.edu","2002-08-20","3.12","Geology","Final Exam","Science Building","Room 201","40","t","t","t","71.36","New York"
"2024-01-02","Michael","Brown","michael.brown@jsuniversity.edu","2002-03-10","3.48","Geology","Final Exam","Engineering Building","Room 801","80","t","t","f","80.03","Texas"
"2024-01-02","Emma","Taylor","emma.taylor@jsuniversity.edu","2002-11-28","2.98","Geology","Final Exam","Science Building","Room 201","40","t","t","t","85.29","Florida"
"2024-01-02","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Geology","Final Exam","Science Building","Room 201","40","t","t","t","77.79","Illinois"
"2024-01-02","William","Wilson","william.wilson@jsuniversity.edu","2002-09-17","3.33","Geology","Final Exam","Science Building","Room 201","40","t","t","t","17.80","Ohio"
"2024-01-02","Sophia","Moore","sophia.moore@jsuniversity.edu","2002-04-19","3.75","Geology","Final Exam","Science Building","Room 201","40","t","t","t","19.70","Michigan"
"2024-01-02","Mia","Clark","mia.clark@jsuniversity.edu","2002-12-08","3.05","Geology","Final Exam","Engineering Building","Room 801","80","t","t","f","30.83","North Carolina"
"2024-01-02","Ethan","White","ethan.white@jsuniversity.edu","2002-02-22","3.42","Geology","Final Exam","Science Building","Room 201","40","t","t","t","31.03","California"
"2024-01-02","Liam","Anderson","liam.anderson@jsuniversity.edu","2002-03-28","3.68","Geology","Final Exam","Science Building","Room 201","40","t","t","t","36.96","Texas"
"2024-01-02","Lucas","Davis","lucas.davis@jsuniversity.edu","2002-06-05","3.55","Geology","Final Exam","Science Building","Room 201","40","t","t","t","27.06","Illinois"
"2024-01-02","Grace","Wilson","grace.wilson@jsuniversity.edu","2002-02-01","3.25","Geology","Final Exam","Engineering Building","Room 801","80","t","t","f","36.55","Michigan"
"2024-01-02","Ella","Moore","ella.moore@jsuniversity.edu","2002-10-14","3.21","Geology","Final Exam","Science Building","Room 201","40","t","t","t","39.54","Georgia"
"2024-01-02","Liam","Roberts","liam.roberts@jsuniversity.edu","2002-09-22","2.95","Geology","Final Exam","Engineering Building","Room 801","80","t","t","f","77.27","North Carolina"
"2024-01-02","Oliver","Martinez","oliver.martinez@jsuniversity.edu","2003-04-15","3.42","Geology","Final Exam","Science Building","Room 201","40","t","t","t","72.66","California"
"2024-01-02","Evelyn","Gonzalez","evelyn.gonzalez@jsuniversity.edu","2003-06-20","3.18","Geology","Final Exam","Science Building","Room 201","40","t","t","t","86.92","New York"
"2024-01-02","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Geology","Final Exam","Engineering Building","Room 801","80","t","t","f","22.92","Florida"
"2024-01-02","Sophia","Gomez","sophia.gomez@jsuniversity.edu","2003-02-28","3.12","Geology","Final Exam","Engineering Building","Room 801","80","t","t","f","59.61","Michigan"
"2024-01-02","Liam","Ramirez","liam.ramirez@jsuniversity.edu","2003-11-08","3.21","Geology","Final Exam","Science Building","Room 201","40","t","t","t","43.42","Georgia"
"2024-01-02","Harper","Torres","harper.torres@jsuniversity.edu","2003-12-15","3.95","Geology","Final Exam","Engineering Building","Room 801","80","t","t","f","74.48","North Carolina"
"2023-11-10","Michael","Brown","michael.brown@jsuniversity.edu","2002-03-10","3.48","Sociology","Midterm Exam","Arts Building","Room 301","30","f","f","t","28.19","Texas"
"2024-01-05","Mia","Clark","mia.clark@jsuniversity.edu","2002-12-08","3.05","Sociology","Final Exam","Library","Room 901","90","f","f","t","28.29","North Carolina"
"2024-01-05","Sofia","Johnson","sofia.johnson@jsuniversity.edu","2002-07-10","3.15","Sociology","Final Exam","Library","Room 901","90","f","f","t","8.98","Florida"
"2024-01-05","Benjamin","Thomas","benjamin.thomas@jsuniversity.edu","2002-08-03","3.78","Sociology","Final Exam","Library","Room 901","90","f","f","t","95.41","Ohio"
"2024-01-05","Evelyn","Gonzalez","evelyn.gonzalez@jsuniversity.edu","2003-06-20","3.18","Sociology","Final Exam","Library","Room 901","90","f","f","t","65.08","New York"
"2024-01-05","Liam","Hernandez","liam.hernandez@jsuniversity.edu","2003-01-10","3.55","Sociology","Final Exam","Library","Room 901","90","f","f","t","95.06","Texas"
"2024-01-05","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Sociology","Final Exam","Library","Room 901","90","f","f","t","13.08","Florida"
"2024-01-05","Noah","Wright","noah.wright@jsuniversity.edu","2003-05-12","3.78","Sociology","Final Exam","Library","Room 901","90","f","f","t","64.97","Illinois"
"2024-01-05","Isabella","Rodriguez","isabella.rodriguez@jsuniversity.edu","2003-08-02","3.25","Sociology","Final Exam","Library","Room 901","90","f","f","t","75.15","Pennsylvania"
"2023-11-15","Michael","Brown","michael.brown@jsuniversity.edu","2002-03-10","3.48","Music","Midterm Exam","Science Building","Room 201","40","t","t","t","84.28","Texas"
"2023-11-15","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Music","Midterm Exam","Science Building","Room 201","40","t","t","t","73.15","Illinois"
"2023-11-15","William","Wilson","william.wilson@jsuniversity.edu","2002-09-17","3.33","Music","Midterm Exam","Arts Building","Room 301","30","f","f","t","55.43","Ohio"
"2023-11-15","David","Jones","david.jones@jsuniversity.edu","2002-07-30","2.87","Music","Midterm Exam","Science Building","Room 201","40","t","t","t","13.36","Georgia"
"2023-11-15","Ethan","White","ethan.white@jsuniversity.edu","2002-02-22","3.42","Music","Midterm Exam","Arts Building","Room 301","30","f","f","t","43.15","California"
"2023-11-15","Sofia","Johnson","sofia.johnson@jsuniversity.edu","2002-07-10","3.15","Music","Midterm Exam","Main Building","Room A01","100","t","t","t","60.43","Florida"
"2023-11-15","Lucas","Davis","lucas.davis@jsuniversity.edu","2002-06-05","3.55","Music","Midterm Exam","Science Building","Room 201","40","t","t","t","92.03","Illinois"
"2023-11-15","Chloe","Perez","chloe.perez@jsuniversity.edu","2002-05-18","3.12","Music","Midterm Exam","Arts Building","Room 301","30","f","f","t","69.51","Pennsylvania"
"2023-11-15","Benjamin","Thomas","benjamin.thomas@jsuniversity.edu","2002-08-03","3.78","Music","Midterm Exam","Main Building","Room A01","100","t","t","t","50.29","Ohio"
"2023-11-15","Grace","Wilson","grace.wilson@jsuniversity.edu","2002-02-01","3.25","Music","Midterm Exam","Arts Building","Room 301","30","f","f","t","41.53","Michigan"
"2023-11-15","Liam","Roberts","liam.roberts@jsuniversity.edu","2002-09-22","2.95","Music","Midterm Exam","Main Building","Room A01","100","t","t","t","29.27","North Carolina"
"2023-11-15","Oliver","Martinez","oliver.martinez@jsuniversity.edu","2003-04-15","3.42","Music","Midterm Exam","Science Building","Room 201","40","t","t","t","51.78","California"
"2023-11-15","Evelyn","Gonzalez","evelyn.gonzalez@jsuniversity.edu","2003-06-20","3.18","Music","Midterm Exam","Main Building","Room A01","100","t","t","t","32.48","New York"
"2023-11-15","Noah","Wright","noah.wright@jsuniversity.edu","2003-05-12","3.78","Music","Midterm Exam","Main Building","Room A01","100","t","t","t","89.38","Illinois"
"2023-11-15","Mason","Sanchez","mason.sanchez@jsuniversity.edu","2003-07-19","3.68","Music","Midterm Exam","Science Building","Room 201","40","t","t","t","87.18","Ohio"
"2023-11-15","Sophia","Gomez","sophia.gomez@jsuniversity.edu","2003-02-28","3.12","Music","Midterm Exam","Arts Building","Room 301","30","f","f","t","70.97","Michigan"
"2024-01-10","John","Smith","john.smith@jsuniversity.edu","2002-05-15","3.25","Music","Final Exam","Main Building","Room A01","100","t","t","t","39.05","California"
"2024-01-10","Alice","Johnson","alice.johnson@jsuniversity.edu","2002-08-20","3.12","Music","Final Exam","Engineering Building","Room 401","60","t","t","f","94.11","New York"
"2024-01-10","Daniel","Miller","daniel.miller@jsuniversity.edu","2002-06-02","3.62","Music","Final Exam","Engineering Building","Room 401","60","t","t","f","72.39","Illinois"
"2024-01-10","Olivia","Anderson","olivia.anderson@jsuniversity.edu","2002-10-05","3.15","Music","Final Exam","Main Building","Room 101","50","t","f","t","23.93","Pennsylvania"
"2024-01-10","Sophia","Moore","sophia.moore@jsuniversity.edu","2002-04-19","3.75","Music","Final Exam","Engineering Building","Room 401","60","t","t","f","82.95","Michigan"
"2024-01-10","Mia","Clark","mia.clark@jsuniversity.edu","2002-12-08","3.05","Music","Final Exam","Main Building","Room A01","100","t","t","t","82.30","North Carolina"
"2024-01-10","Ethan","White","ethan.white@jsuniversity.edu","2002-02-22","3.42","Music","Final Exam","Engineering Building","Room 401","60","t","t","f","41.94","California"
"2024-01-10","Liam","Anderson","liam.anderson@jsuniversity.edu","2002-03-28","3.68","Music","Final Exam","Main Building","Room A01","100","t","t","t","74.56","Texas"
"2024-01-10","Grace","Wilson","grace.wilson@jsuniversity.edu","2002-02-01","3.25","Music","Final Exam","Main Building","Room A01","100","t","t","t","95.97","Michigan"
"2024-01-10","Ella","Moore","ella.moore@jsuniversity.edu","2002-10-14","3.21","Music","Final Exam","Main Building","Room 101","50","t","f","t","17.37","Georgia"
"2024-01-10","Liam","Roberts","liam.roberts@jsuniversity.edu","2002-09-22","2.95","Music","Final Exam","Engineering Building","Room 401","60","t","t","f","71.84","North Carolina"
"2024-01-10","Ava","Lopez","ava.lopez@jsuniversity.edu","2003-09-28","3.05","Music","Final Exam","Main Building","Room 101","50","t","f","t","94.32","Florida"
